timestamp,steering,offset
1751030116.6592746,-0.032,1.177
1751030116.759489,-0.028,1.06
1751030116.8594131,-0.025,0.927
1751030116.9594352,-0.025,0.829
1751030117.0594206,-0.025,0.728
1751030117.18648,-0.026,0.633
1751030117.2592325,-0.03,0.601
1751030117.3595436,-0.041,0.559
1751030117.4593544,-0.048,0.534
1751030117.55959,-0.052,0.516
1751030117.6596816,-0.051,0.493
1751030117.7595248,-0.043,0.474
1751030117.8597238,-0.028,0.464
1751030117.9596279,-0.009,0.454
1751030118.0595238,-0.0,0.469
1751030118.182109,0.001,0.523
1751030118.2595541,0.001,0.606
1751030118.3595324,0.001,0.711
1751030118.459368,-0.004,0.895
1751030118.5595007,-0.012,1.114
1751030118.6594794,-0.016,1.345
1751030118.759677,-0.016,1.522
1751030118.8594532,-0.016,1.738
1751030118.959568,-0.016,-1.569
1751030119.0595121,-0.016,-1.42
1751030119.1788993,-0.014,-1.221
1751030119.259366,-0.009,-1.108
1751030119.3595598,-0.006,-0.998
1751030119.4593942,-0.006,-0.87
1751030119.5594432,-0.006,-0.759
1751030119.6596503,-0.006,-0.675
1751030119.7592194,-0.006,-0.572
1751030119.8593647,-0.006,-0.477
1751030119.9597476,-0.006,-0.409
1751030120.059315,-0.006,-0.327
1751030120.1832106,-0.008,-0.237
1751030120.2596912,-0.011,-0.197
1751030120.3595898,-0.013,-0.141
1751030120.4596229,-0.013,0.0
1751030120.559706,-0.013,0.0
1751030120.6596336,-0.013,0.0
1751030120.759721,-0.012,0.0
1751030120.8594806,-0.008,0.0
1751030120.9597685,-0.005,0.0
1751030121.059218,-0.002,-0.13
1751030121.1815388,-0.002,-0.184
1751030121.259228,-0.002,-0.215
1751030121.359481,-0.002,-0.268
1751030121.4598742,-0.002,-0.314
1751030121.5598876,-0.002,-0.372
1751030121.6595995,-0.002,-0.435
1751030121.7594204,-0.0,-0.5
1751030121.8596046,0.002,-0.553
1751030121.9593863,0.003,-0.618
1751030122.0600185,0.003,-0.685
1751030122.1888971,0.003,-0.752
1751030122.259573,0.003,-0.802
1751030122.3594167,0.004,-0.848
1751030122.4594207,0.006,-0.901
1751030122.559643,0.009,-0.938
1751030122.6601954,0.011,-0.976
1751030122.7594898,0.011,-1.002
1751030122.8595514,0.012,-1.015
1751030122.959831,0.014,-1.015
1751030123.059979,0.016,-0.999
1751030123.2324047,0.016,-0.93
1751030123.2604506,0.015,-0.917
1751030123.3592436,0.014,0.721
1751030123.4594789,0.011,0.217
1751030123.559632,0.007,-0.12
1751030123.6602056,0.003,-0.286
1751030123.759881,-0.001,-0.348
1751030123.8595293,-0.005,-0.265
1751030123.9594753,-0.012,-0.129
1751030124.0598707,-0.016,0.0
1751030124.193234,-0.016,0.167
1751030124.2598217,-0.016,0.232
1751030124.3592308,-0.016,0.322
1751030124.4593616,-0.016,0.393
1751030124.560325,-0.016,0.432
1751030124.6595476,-0.019,0.458
1751030124.7596202,-0.022,0.465
1751030124.8594096,-0.025,0.452
1751030124.9596796,-0.026,0.417
1751030125.0603817,-0.026,0.343
1751030125.1940749,-0.026,0.167
1751030125.2593527,-0.026,0.0
1751030125.3598928,-0.026,-0.182
1751030125.4597573,-0.026,-0.286
1751030125.5593798,-0.026,-0.395
1751030125.6594841,-0.026,-0.482
1751030125.7594845,-0.03,-0.559
1751030125.8596106,-0.036,-0.536
1751030125.9596157,-0.042,-0.484
1751030126.0595512,-0.047,-0.407
1751030126.1902447,-0.053,-0.295
1751030126.259182,-0.056,-0.319
1751030126.3596625,-0.058,-0.204
1751030126.4593537,-0.065,0.173
1751030126.5597644,-0.072,0.17
1751030126.6594703,-0.079,0.275
1751030126.7595358,-0.087,0.403
1751030126.8592238,-0.093,0.506
1751030126.9593596,-0.098,0.514
1751030127.059878,-0.102,0.498
1751030127.2043233,-0.1,0.426
1751030127.259749,-0.096,0.433
1751030127.3599868,-0.076,0.276
1751030127.4594238,-0.056,0.124
1751030127.5592709,-0.037,-0.235
1751030127.6593878,-0.018,-0.479
1751030127.7592766,-0.006,-0.756
1751030127.8600364,-0.003,-0.958
1751030127.9603484,-0.005,-1.131
1751030128.0593023,-0.013,-1.259
1751030128.1895664,-0.025,-1.342
1751030128.2593684,-0.034,-1.362
1751030128.3597093,-0.043,-1.338
1751030128.4598527,-0.055,-1.275
1751030128.5593114,-0.062,-1.182
1751030128.6593082,-0.064,-1.077
1751030128.7593093,-0.063,-0.971
1751030128.8594322,-0.06,0.899
1751030128.9594388,-0.052,0.8
1751030129.0595388,-0.045,0.692
1751030129.1804795,-0.04,0.56
1751030129.2593896,-0.036,0.502
1751030129.3599575,-0.027,0.484
1751030129.459686,-0.015,0.511
1751030129.5596242,-0.003,0.579
1751030129.659254,0.008,0.676
1751030129.7593231,0.015,0.785
1751030129.8593554,0.02,0.89
1751030129.9596221,0.021,0.989
1751030130.0593643,0.019,1.063
1751030130.1989028,0.019,1.125
1751030130.2600584,0.019,1.141
1751030130.3592978,0.019,1.144
1751030130.4592474,0.019,1.121
1751030130.559402,0.019,1.072
1751030130.6593957,0.019,0.997
1751030130.7596772,0.019,0.891
1751030130.8597994,0.018,0.763
1751030130.9596303,0.013,0.634
1751030131.0593908,0.004,0.447
1751030131.1879685,-0.009,0.205
1751030131.2597997,-0.014,0.0
1751030131.3600252,-0.023,0.154
1751030131.459335,-0.031,0.328
1751030131.5593147,-0.039,0.49
1751030131.6597173,-0.044,0.588
1751030131.7594037,-0.043,0.664
1751030131.8593383,-0.035,0.684
1751030131.9595125,-0.028,0.648
1751030132.0597467,-0.025,0.585
1751030132.1803565,-0.019,0.43
1751030132.25976,-0.012,0.3
1751030132.3600578,-0.004,0.0
1751030132.4593937,0.002,-0.132
1751030132.5593014,0.004,-0.394
1751030132.6595118,0.004,-0.662
1751030132.7593734,0.004,-0.927
1751030132.859622,0.004,-1.184
1751030132.959211,0.008,-1.424
1751030133.0592449,0.012,-1.661
1751030133.1789358,0.014,1.559
1751030133.259449,0.014,1.384
1751030133.3600194,0.014,1.227
1751030133.4591932,0.014,1.019
1751030133.559272,0.014,0.865
1751030133.659844,0.015,0.733
1751030133.7597213,0.017,0.619
1751030133.8593178,0.018,0.527
1751030133.9592922,0.018,0.459
1751030134.0594175,0.018,0.413
1751030134.1789224,0.018,0.386
1751030134.2595966,0.018,0.385
1751030134.3595624,0.018,0.408
1751030134.4598095,0.018,0.449
1751030134.559545,0.018,0.512
1751030134.659431,0.018,0.595
1751030134.7593045,0.018,0.695
1751030134.8599339,0.018,0.815
1751030134.959663,0.018,0.958
1751030135.0596528,0.017,1.147
1751030135.2072866,0.012,1.413
1751030135.2596357,0.011,1.492
1751030135.3597062,0.006,1.742
1751030135.4592996,0.002,-1.536
1751030135.559365,-0.004,-1.309
1751030135.6594849,-0.01,-1.087
1751030135.7597191,-0.016,-0.875
1751030135.8595135,-0.019,-0.674
1751030135.9593272,-0.024,-0.449
1751030136.0592306,-0.028,-0.278
1751030136.1794877,-0.029,0.0
1751030136.2599785,-0.029,0.0
1751030136.3595216,-0.029,0.0
1751030136.4598212,-0.03,0.16
1751030136.559385,-0.031,0.205
1751030136.6593854,-0.031,0.211
1751030136.7594151,-0.031,0.19
1751030136.8595884,-0.031,0.141
1751030136.9593344,-0.034,0.0
1751030137.059624,-0.037,0.0
1751030137.1890059,-0.041,0.283
1751030137.2596586,-0.042,0.134
1751030137.3593092,-0.044,0.136
1751030137.459286,-0.046,0.231
1751030137.559278,-0.049,0.119
1751030137.6593833,-0.052,0.299
